Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
14-09-2015,Ola Cabs,Cab rental Mobile app,UnDisclosed,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000
15-09-2015,Coverfox,Online Insurance Distribution Platform,UnDisclosed,Mumbai,Cataraman Ventures,Private Equity,2000000
15-09-2015,MoEngage,Mobile Marketing Automation Platform,UnDisclosed,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000
15-09-2015,Mubble,Prepaid Mobile Bill Manager App,UnDisclosed,Bangalore,Nandan Nilekani,Seed Funding,0
15-09-2015,Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,UnDisclosed,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,1000000
15-09-2015,Room on Call,Branded Budget Hotel Marketplace,UnDisclosed,Noida,Payal Syal,Seed Funding,300000
15-09-2015,FYNE,Home Fitting & Fixtures Marketplace,UnDisclosed,Bangalore,Sandeep Dama & Others,Seed Funding,0
16-09-2015,ChaiPoint,Food Subscription platform,UnDisclosed,Bangalore,Eight Roads Ventures,Private Equity,10000000
16-09-2015,WedmeGood.com,Wedding Planning Platform,UnDisclosed,Gurugram,Indian Angel Network,Seed Funding,410000
16-09-2015,XSTOK,B2B Mobile Auction Marketplace,UnDisclosed,Mumbai,Oliphans Capital,Seed Funding,450000
17-09-2015,UniLog,ECommerce Data Analytics Platform,UnDisclosed,Bangalore,Kalaari Capital,Private Equity,0
17-09-2015,Paintcollar,Designer Merchandize Marketplace,UnDisclosed,Mumbai,Applyifi,Seed Funding,0
17-09-2015,YepMe,Private label Fashion eTailer,UnDisclosed,Gurugram,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000
17-09-2015,Bueno,Online Food ordering & delivery,UnDisclosed,Gurugram,High Networth Individuals (No details),Seed Funding,600000
18-09-2015,Plabro,Real Estate Broker Platform App,UnDisclosed,Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000
18-09-2015,CureJoy,Online Health & Wellness platform,UnDisclosed,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000
18-09-2015,Briston Technomach,Internet of Things platform,UnDisclosed,Delhi,Undisclosed,Seed Funding,150000
18-09-2015,LabStreet,Diagnostic Labs aggregator platform,UnDisclosed,Gurugram,Multiple investors,Seed Funding,150000
19-09-2015,DailyNinja,Hyperlocal Delivery Platform,UnDisclosed,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,0
21-09-2015,Portea Medical,Home Medical Care Services,UnDisclosed,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,37500000
21-09-2015,Neotrade Analytics,Real-Time stock data platform,UnDisclosed,Bangalore,Rainmatter,Seed Funding,235000
21-09-2015,DishCo,Food discovery & table booking app,UnDisclosed,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,0
21-09-2015,LafaLafa,coupons and cashback aggregator app,UnDisclosed,Mumbai,500 Startups,Seed Funding,125000
21-09-2015,ConnectAbank,Financial Products lead generation platform,UnDisclosed,Mumbai,Prakhar Bumb,Seed Funding,0
22-09-2015,VillFarm,Sustainable Agri-inputs Firm,UnDisclosed,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,0
22-09-2015,Bestdealfinance,Financial Services Portal,UnDisclosed,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,3000000
22-09-2015,GameXS.in,Pre-owned games Marketplace,UnDisclosed,Delhi,Lead Angels,Seed Funding,0
22-09-2015,The Man Company,Content-based Subscription eCommerce platform,UnDisclosed,Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,0
22-09-2015,Virtual Logic,"virtual reality, 3d simulation and stereoscopic products",UnDisclosed,Bangalore,Swarnim Multiventures,Private Equity,800000
22-09-2015,Furdo,Online Interior Designing platform,UnDisclosed,Bangalore,Bhavdeep Reddy,Seed Funding,400000
